City,State,Latitude,Longitude
Vijayawada,Andhra Pradesh,16.5062,80.6480
Visakhapatnam,Andhra Pradesh,17.6868,83.2185
Kakinada,Andhra Pradesh,16.9891,82.2475
Guntur,Andhra Pradesh,16.3067,80.4365
Anantapur,Andhra Pradesh,14.6819,77.6006
Patna,Bihar,25.5941,85.1376
Muzaffarpur,Bihar,26.1209,85.3647
Bhagalpur,Bihar,25.2445,86.9718
Gaya,Bihar,24.7955,85.0120
Darbhanga,Bihar,26.1527,85.8972
Raipur,Chhattisgarh,21.2514,81.6296
Bilaspur,Chhattisgarh,22.0735,82.1524
Durg,Chhattisgarh,21.1904,81.2849
Korba,Chhattisgarh,22.3458,82.6963
Rajnandgaon,Chhattisgarh,21.1000,81.0288
Ahmedabad,Gujarat,23.0225,72.5714
Surat,Gujarat,21.1702,72.8311
Vadodara,Gujarat,22.3072,73.1812
Rajkot,Gujarat,22.3039,70.8022
Junagadh,Gujarat,21.5222,70.4579
Karnal,Haryana,29.6857,76.9905
Hisar,Haryana,29.1492,75.7217
Ambala,Haryana,30.3753,76.7821
Panipat,Haryana,29.3909,76.9635
Rohtak,Haryana,28.8955,76.6066
Bangalore,Karnataka,12.9716,77.5946
Hubli-Dharwad,Karnataka,15.3647,75.1240
Mysuru,Karnataka,12.2958,76.6394
Tumkur,Karnataka,13.3415,77.1010
Belagavi,Karnataka,15.8497,74.4977
Thiruvananthapuram,Kerala,8.5241,76.9366
Kochi,Kerala,9.9312,76.2673
Kozhikode,Kerala,11.2588,75.7804
Kottayam,Kerala,9.5916,76.5222
Palakkad,Kerala,10.7867,76.6548
Bhopal,Madhya Pradesh,23.2599,77.4126
Indore,Madhya Pradesh,22.7196,75.8577
Gwalior,Madhya Pradesh,26.2183,78.1828
Ujjain,Madhya Pradesh,23.1793,75.7849
Jabalpur,Madhya Pradesh,23.1815,79.9864
Pune,Maharashtra,18.5204,73.8567
Nashik,Maharashtra,20.0059,73.7910
Aurangabad,Maharashtra,19.8762,75.3433
Nagpur,Maharashtra,21.1458,79.0882
Kolhapur,Maharashtra,16.7050,74.2433
Bhubaneswar,Odisha,20.2961,85.8245
Cuttack,Odisha,20.4625,85.8830
Sambalpur,Odisha,21.4704,83.9701
Berhampur,Odisha,19.3149,84.7941
Rourkela,Odisha,22.2604,84.8536
Amritsar,Punjab,31.6340,74.8723
Ludhiana,Punjab,30.9010,75.8573
Patiala,Punjab,30.3398,76.3869
Jalandhar,Punjab,31.3260,75.5762
Bathinda,Punjab,30.2070,74.9455
Jaipur,Rajasthan,26.9124,75.7873
Udaipur,Rajasthan,24.5854,73.7125
Jodhpur,Rajasthan,26.2389,73.0243
Kota,Rajasthan,25.2138,75.8648
Ajmer,Rajasthan,26.4499,74.6399
Chennai,Tamil Nadu,13.0827,80.2707
Coimbatore,Tamil Nadu,11.0168,76.9558
Madurai,Tamil Nadu,9.9252,78.1198
Tiruchirappalli,Tamil Nadu,10.7905,78.7047
Salem,Tamil Nadu,11.6643,78.1460
Lucknow,Uttar Pradesh,26.8467,80.9462
Kanpur,Uttar Pradesh,26.4499,80.3319
Agra,Uttar Pradesh,27.1767,78.0081
Varanasi,Uttar Pradesh,25.3176,82.9739
Meerut,Uttar Pradesh,28.6139,77.2090
Kolkata,West Bengal,22.5726,88.3639
Siliguri,West Bengal,26.7271,88.3953
Durgapur,West Bengal,23.5204,87.3119
Asansol,West Bengal,23.6739,86.9524
Malda,West Bengal,25.0113,88.0935
